,tgt_0,tgt_1,tgt_2,tgt_3,tgt_4,tgt_5,tgt_6,tgt_7,tgt_8,tgt_9,tgt_10,tgt_11,tgt_12,tgt_13,tgt_14
src_0,0.000983596464813994,0.016921636862805352,0.07044123717025778,0.0020786911317800276,0.3000225186908758,4.600072918171986e-05,0.0008225016988213972,0.0214543132401795,0.1194533558421718,0.021571279013238468,0.09302657169372108,0.0029486890460028764,0.0031725151857618945,0.23923066955963032,0.10782642367075802
src_1,0.036575370445295706,0.12554422281868718,0.018783883575324713,0.13747753785108469,0.034603068983004,0.1538468226950268,0.13217061455138213,0.015902610505158794,0.05761132355580797,0.029761116581169048,0.014760200863912897,0.0003440881221230779,0.1303453324091607,0.03696308855911274,0.0753107184837496
src_2,0.0654828735724535,0.1170345256227405,0.034318926252687766,0.1091623650442024,0.0108518779242292,0.09579335996946801,0.11915890693735545,0.037246700542643896,0.12286596017581494,0.05368332209874724,0.05323060971890534,0.0156982293508704,0.09373320053228096,0.02857355127816182,0.0431655909794385
src_3,0.05404362492755386,0.06008672693862751,0.048342351796776435,0.07727755085328292,0.00772435528044959,0.06306084123033236,0.1611696772019287,0.033511084015301056,0.049804449131113836,0.10754545660696223,0.035001663104518875,0.02694822798833717,0.18766121239199465,0.006996682258130222,0.08082609627469052
src_4,0.016969626079011976,0.043326182360139916,0.038431112070169415,0.04652738914686754,0.008515112690444445,0.03414917970694892,0.07883958310025682,0.09387177727699536,0.09611535835804447,0.19654034016823466,0.005798906166842746,0.1909619972358951,0.06386642286997599,0.023048575845175247,0.06303843692499753
src_5,0.0024011956598049217,0.008710911568442965,0.01253536695220793,0.061185332936186616,0.37866812000484257,0.0011281980126101197,0.0015125414307939496,0.0002789414625244363,0.11465032667083314,0.010495294734973975,0.06596791595591939,8.025563050197939e-05,0.02279330979301499,0.31725661543159195,0.0023356737557511356
src_6,0.010668158178414048,0.08827806723056693,0.1510971368048485,0.0494755699939372,0.021967808721651456,0.004033737822993535,0.013144594406258038,0.12793576328572753,0.095927386408204,0.08488869661144988,0.005414814022555147,0.03739667679915049,0.011812479877920806,0.11446091127571274,0.18349819856060964
src_7,0.03887784327065763,0.08867889884464346,0.04134872104560899,0.1952779336409547,0.004707433647066114,0.11056359980267491,0.1287429907973145,0.020881136206786187,0.14616362922112977,0.048891562577257325,0.024014097723779312,7.680651691928446e-05,0.02973874444091711,0.07543604727191472,0.046600554992375934
src_8,0.028029182062184226,0.06311098335282234,0.1385243311261259,0.04358328624683135,0.01845599779565219,0.003016492430414712,0.014724762594295438,0.16494976806602918,0.14002466074313785,0.11536887520250216,0.01612369000926705,0.15067005403780062,0.023568235946102786,0.025295833225600733,0.05455384716123332
src_9,0.06820944246232433,0.01873311422387306,0.24879870276721883,0.021321104030814438,0.01746030146540203,0.002695794446474908,0.010152596325065998,0.04866640533986262,0.2655978234985297,0.06314337559656846,0.02735094266580837,0.014531711376050707,0.0014678669586120903,0.11176456243346589,0.08010625640992858
src_10,0.07427049270928494,0.08383390989755805,0.05311183899203356,0.1248011048318536,0.00835015294223615,0.06543055627130097,0.118364012434267,0.034668797621728926,0.07892611916608706,0.07071350363589246,0.09917209866377137,0.02218859267110513,0.0633472397770208,0.05729004486539164,0.045531535520468264
src_11,0.02337710466398996,0.09661273644481742,0.0437267187778526,0.08837662810070207,0.009656108127408953,0.019600346396227583,0.0500920205744331,0.028954427328808943,0.25933044458723337,0.11060371550756615,0.12150114556731188,0.01827412945127714,0.014668784099287157,0.04184983292247522,0.07337585745060843
src_12,0.02505070179376491,0.14400515249320484,0.013649791982927807,0.15249301369177012,0.0029739268710110133,0.0883194465045449,0.1256787554406776,0.02343701963612,0.06099291638564944,0.07911684047294165,0.03819597145455059,0.06296074956997237,0.12526914407384931,0.01711372743212745,0.04074284219688787
src_13,0.013063793249824165,0.04774794504627169,0.06400805832222371,0.00016995456983735034,0.10576437550803984,7.801905663425125e-07,0.0009153995052349892,0.002601577562417458,0.18331523766544502,0.00025133789876719546,0.22113138440986643,9.298430197458542e-05,3.3001488937360866e-06,0.33240509491456277,0.02852877670607487
src_14,0.0019870207631412207,0.007275396865306374,0.098502893286651,0.00016838966309746926,0.3483938314593819,1.7679141456943119e-06,0.009473990788374343,0.042664467429723615,0.08001277459837597,0.00036440489021825797,0.0523993773657501,0.09237680906740355,0.00013372528315361772,0.25681945384177013,0.009425696783506604
