,tgt_0,tgt_1,tgt_2,tgt_3,tgt_4,tgt_5,tgt_6,tgt_7,tgt_8,tgt_9,tgt_10,tgt_11,tgt_12,tgt_13,tgt_14
src_0,0.027123198740683217,0.0775566118779964,0.05286819044851042,0.09536737616907286,0.07899341081661825,0.059547480527839446,0.07379272795652718,0.036884374189045735,0.10303899028629626,0.06001818114271039,0.053843366904080224,0.02150288235689661,0.05940986312063295,0.11763118769101098,0.0824221577720791
src_1,0.03173034373002439,0.09360058216678291,0.029731181209071096,0.13397451067056,0.03513400369597767,0.0962874840737713,0.12166315927469572,0.03357775968233328,0.07248771571936002,0.06462931118694253,0.03636494130716759,0.018726367039450388,0.10907291335170828,0.05441957435571586,0.06860015253643897
src_2,0.03590634970543353,0.09499281062960402,0.044650029483039,0.127590110249836,0.029193126363383667,0.08750770401515959,0.11548782821520122,0.03652332512764577,0.09711798485061167,0.06865190045495402,0.0385585539372315,0.019570530174913017,0.09095683599888456,0.05536433069386102,0.05792858010024144
src_3,0.02994684672197062,0.0922822433746311,0.03251611032761099,0.1326493773188527,0.03353541929227903,0.09473973745248027,0.12204387839327642,0.03631322899015977,0.071659807313348,0.06614546299166267,0.037933141501915554,0.021271530677585568,0.10734180571766187,0.05285266266840838,0.06876874725815704
src_4,0.028014945371468276,0.09636730525331934,0.03437739357129691,0.13919472559798124,0.027153326199267167,0.10014362937105367,0.1315991267194186,0.03835552379059341,0.06733961692985668,0.07285897721791218,0.03388397624568243,0.02848792314464839,0.10017179778757297,0.04472853796120677,0.05732319483872198
src_5,0.023005848822546613,0.07941698684514932,0.05811318220221554,0.08658168717267804,0.07948430084869013,0.05087580883716572,0.06647597700713559,0.03859063458016565,0.12219971461706068,0.05922649214427695,0.06319542187489174,0.02255598769231213,0.048480118114567164,0.1285436361559586,0.07325420308518614
src_6,0.026289796248881874,0.07596494770899295,0.036982688372390764,0.1101323684867908,0.059205896746383956,0.05888975956147651,0.08622974275616496,0.055822680828688326,0.08938714037188188,0.07483435004059762,0.030044455322912125,0.030852992426746058,0.08121790541562135,0.08531401526282383,0.098831260449647
src_7,0.03311518536040321,0.09333974846726212,0.0415120082262484,0.12922137011649618,0.03400006809401288,0.08880199603424728,0.11494270089617659,0.03537256370024652,0.089396662785246,0.0679915038480567,0.040971615169012196,0.01890613939200307,0.09137583395648335,0.05963706377058616,0.06141554018351933
src_8,0.03125301687453462,0.08814119937689521,0.05874509331599677,0.11121192682710972,0.03859840683738389,0.06746183283570568,0.09546126988542032,0.04809742100895863,0.1200726911219546,0.0743498423273403,0.041609006406054846,0.030417454919060925,0.061932177133704684,0.07589500112124259,0.05675366000863723
src_9,0.038793655976541414,0.0806010915599284,0.09665275661656009,0.0929293803502979,0.041355195292714704,0.05045225437373062,0.08163225821302839,0.050804018444504696,0.1499238759485356,0.0701402060638218,0.03700570929745844,0.02741287279103709,0.04497391907214052,0.07726398029682836,0.060058825702872
src_10,0.034803265480064266,0.0943987949357507,0.04447533567106594,0.1261768972882441,0.031968402278713115,0.08724148809266231,0.11554613988599037,0.03494549020800212,0.09594414020950141,0.06783203786072221,0.04339355823579858,0.019347299032092483,0.08829945326913952,0.058288159133055684,0.057339538419197186
src_11,0.03520678869659429,0.09481938590809486,0.049134871775320756,0.12048047940526738,0.03262430862344131,0.08009787766751225,0.10418598510991454,0.03741580306747216,0.11423764647144614,0.06958044236304285,0.04888947465757062,0.017922752672227486,0.07513896542751931,0.06691566172372843,0.05334955643084761
src_12,0.03209965312046174,0.09875401621271128,0.0264059050845602,0.13889533885355904,0.026552170505064903,0.09883117459101527,0.1286298635362798,0.031725600556263604,0.073437291643571,0.0661477544757473,0.037746649254181815,0.020272643418388542,0.11401676631455547,0.04598214838899074,0.06050302404464925
src_13,0.031092258086450615,0.08042816282302778,0.0663937737675655,0.09019685608187325,0.06147059550712105,0.05171913801996384,0.06761748798507099,0.04140677635445281,0.14430585915098712,0.06514497306337427,0.0598211440903225,0.021982628515788957,0.04511497762092316,0.11071733794307542,0.06258803099000274
src_14,0.0293135424304367,0.07690593767721551,0.08029328013406789,0.08265086488968496,0.0691113040784623,0.04667196051143341,0.06706625335239823,0.0464153290542209,0.13358258440360757,0.06429893269776957,0.051499243864710796,0.0264252470594765,0.04141822120200894,0.11387542039147046,0.07047187825303626
